train,label
disp_lobe1_00000.tif,None
disp_lobe1_00001.tif,None
disp_lobe1_00002.tif,None
disp_lobe1_00003.tif,None
disp_lobe1_00004.tif,None
disp_lobe1_00005.tif,None
disp_lobe1_00006.tif,None
disp_lobe1_00007.tif,None
disp_lobe1_00008.tif,None
disp_lobe1_00009.tif,None
disp_lobe1_00010.tif,None
disp_lobe1_00011.tif,None
disp_lobe1_00012.tif,None
disp_lobe1_00013.tif,None
disp_lobe1_00014.tif,None
disp_lobe1_00015.tif,None
disp_lobe1_00016.tif,None
disp_lobe1_00017.tif,None
disp_lobe1_00018.tif,None
disp_lobe1_00019.tif,None
disp_lobe1_00020.tif,None
disp_lobe1_00021.tif,None
disp_lobe1_00022.tif,None
disp_lobe1_00023.tif,None
disp_lobe1_00024.tif,None
disp_lobe1_00025.tif,None
disp_lobe1_00026.tif,None
disp_lobe1_00027.tif,None
disp_lobe1_00028.tif,None
disp_lobe1_00029.tif,None
disp_lobe1_00030.tif,None
disp_lobe1_00031.tif,None
disp_lobe1_00032.tif,None
disp_lobe1_00033.tif,None
disp_lobe1_00034.tif,None
disp_lobe1_00035.tif,None
disp_lobe1_00036.tif,None
disp_lobe1_00037.tif,None
disp_lobe1_00038.tif,None
disp_lobe1_00039.tif,None
disp_lobe1_00040.tif,None
disp_lobe1_00041.tif,None
disp_lobe1_00042.tif,None
disp_lobe1_00043.tif,None
disp_lobe1_00044.tif,None
disp_lobe1_00045.tif,None
disp_lobe1_00046.tif,None
disp_lobe1_00047.tif,None
disp_lobe1_00048.tif,None
disp_lobe1_00049.tif,None
disp_lobe1_00050.tif,None
disp_lobe1_00051.tif,None
disp_lobe1_00052.tif,None
disp_lobe1_00053.tif,None
disp_lobe1_00054.tif,None
disp_lobe1_00055.tif,None
disp_lobe1_00056.tif,None
disp_lobe1_00057.tif,None
disp_lobe1_00058.tif,None
disp_lobe1_00059.tif,None
disp_lobe1_00060.tif,None
disp_lobe1_00061.tif,None
disp_lobe1_00062.tif,None
disp_lobe1_00063.tif,None
disp_lobe1_00064.tif,None
disp_lobe1_00065.tif,None
disp_lobe1_00066.tif,None
disp_lobe1_00067.tif,None
disp_lobe1_00068.tif,None
disp_lobe1_00069.tif,None
disp_lobe1_00070.tif,None
disp_lobe1_00071.tif,None
disp_lobe1_00072.tif,None
disp_lobe1_00073.tif,None
disp_lobe1_00074.tif,None
disp_lobe1_00075.tif,None
disp_lobe1_00076.tif,None
disp_lobe1_00077.tif,None
disp_lobe1_00078.tif,None
disp_lobe1_00079.tif,None
disp_lobe1_00080.tif,None
disp_lobe1_00081.tif,None
disp_lobe1_00082.tif,None
disp_lobe1_00083.tif,None
disp_lobe1_00084.tif,None
disp_lobe1_00085.tif,None
disp_lobe1_00086.tif,None
disp_lobe1_00087.tif,None
disp_lobe1_00088.tif,None
disp_lobe1_00089.tif,None
disp_lobe1_00090.tif,None
disp_lobe1_00091.tif,None
disp_lobe1_00092.tif,None
disp_lobe1_00093.tif,None
disp_lobe1_00094.tif,None
disp_lobe1_00095.tif,None
disp_lobe1_00096.tif,None
disp_lobe1_00097.tif,None
disp_lobe1_00098.tif,None
disp_lobe1_00099.tif,None
disp_lobe1_00100.tif,None
disp_lobe1_00101.tif,None
disp_lobe1_00102.tif,None
disp_lobe1_00103.tif,None
disp_lobe1_00104.tif,None
disp_lobe1_00105.tif,None
disp_lobe1_00106.tif,None
disp_lobe1_00107.tif,None
disp_lobe1_00108.tif,None
